QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	603966	614	6.0	runtest
test	Q0	601637	615	6.0	runtest
test	Q0	597921	616	6.0	runtest
test	Q0	596789	617	6.0	runtest
test	Q0	594629	618	6.0	runtest
test	Q0	593179	619	6.0	runtest
test	Q0	590183	620	6.0	runtest
test	Q0	585755	621	6.0	runtest
test	Q0	585223	622	6.0	runtest
test	Q0	583727	623	6.0	runtest
test	Q0	568607	624	6.0	runtest
test	Q0	547713	625	6.0	runtest
test	Q0	546467	626	6.0	runtest
test	Q0	533392	627	6.0	runtest
test	Q0	512097	628	6.0	runtest
test	Q0	511607	629	6.0	runtest
test	Q0	489386	630	6.0	runtest
test	Q0	483926	631	6.0	runtest
test	Q0	470488	632	6.0	runtest
test	Q0	467929	633	6.0	runtest
test	Q0	455971	634	6.0	runtest
test	Q0	436261	635	6.0	runtest
test	Q0	419726	636	6.0	runtest
test	Q0	415190	637	6.0	runtest
test	Q0	413382	638	6.0	runtest
test	Q0	411799	639	6.0	runtest
test	Q0	408116	640	6.0	runtest
test	Q0	405369	641	6.0	runtest
test	Q0	393248	642	6.0	runtest
test	Q0	386117	643	6.0	runtest
test	Q0	385289	644	6.0	runtest
test	Q0	379743	645	6.0	runtest
test	Q0	374522	646	6.0	runtest
test	Q0	371843	647	6.0	runtest
test	Q0	371444	648	6.0	runtest
test	Q0	368578	649	6.0	runtest
test	Q0	367200	650	6.0	runtest
test	Q0	359897	651	6.0	runtest
test	Q0	347545	652	6.0	runtest
test	Q0	345571	653	6.0	runtest
test	Q0	338422	654	6.0	runtest
test	Q0	335054	655	6.0	runtest
test	Q0	331501	656	6.0	runtest
test	Q0	329492	657	6.0	runtest
test	Q0	324833	658	6.0	runtest
test	Q0	322830	659	6.0	runtest
test	Q0	319440	660	6.0	runtest
test	Q0	319296	661	6.0	runtest
test	Q0	317963	662	6.0	runtest
test	Q0	304920	663	6.0	runtest
test	Q0	297045	664	6.0	runtest
test	Q0	289569	665	6.0	runtest
test	Q0	277649	666	6.0	runtest
test	Q0	269601	667	6.0	runtest
test	Q0	269200	668	6.0	runtest
test	Q0	263514	669	6.0	runtest
test	Q0	262576	670	6.0	runtest
test	Q0	252028	671	6.0	runtest
test	Q0	234986	672	6.0	runtest
test	Q0	221521	673	6.0	runtest
test	Q0	219131	674	6.0	runtest
test	Q0	203055	675	6.0	runtest
test	Q0	201353	676	6.0	runtest
test	Q0	196512	677	6.0	runtest
test	Q0	196511	678	6.0	runtest
test	Q0	157731	679	6.0	runtest
test	Q0	153300	680	6.0	runtest
test	Q0	146339	681	6.0	runtest
test	Q0	124704	682	6.0	runtest
test	Q0	117804	683	6.0	runtest
test	Q0	106600	684	6.0	runtest
test	Q0	103884	685	6.0	runtest
test	Q0	84357	686	6.0	runtest
test	Q0	83840	687	6.0	runtest
test	Q0	73308	688	6.0	runtest
test	Q0	67581	689	6.0	runtest
test	Q0	61095	690	6.0	runtest
test	Q0	60369	691	6.0	runtest
test	Q0	46764	692	6.0	runtest
test	Q0	46503	693	6.0	runtest
test	Q0	43507	694	6.0	runtest
test	Q0	43453	695	6.0	runtest
test	Q0	40309	696	6.0	runtest
test	Q0	36368	697	6.0	runtest
test	Q0	7209	698	6.0	runtest
test	Q0	4179	699	6.0	runtest
test	Q0	2409	700	6.0	runtest
test	Q0	615	701	6.0	runtest
test	Q0	890270	702	5.0	runtest
test	Q0	890264	703	5.0	runtest
test	Q0	890263	704	5.0	runtest
test	Q0	890258	705	5.0	runtest
test	Q0	890255	706	5.0	runtest
test	Q0	890251	707	5.0	runtest
test	Q0	890250	708	5.0	runtest
test	Q0	889852	709	5.0	runtest
test	Q0	889241	710	5.0	runtest
test	Q0	889218	711	5.0	runtest
test	Q0	889207	712	5.0	runtest
test	Q0	889039	713	5.0	runtest
test	Q0	889036	714	5.0	runtest
test	Q0	889027	715	5.0	runtest
test	Q0	873576	716	5.0	runtest
test	Q0	860182	717	5.0	runtest
test	Q0	857576	718	5.0	runtest
test	Q0	854138	719	5.0	runtest
test	Q0	853988	720	5.0	runtest
test	Q0	846988	721	5.0	runtest
test	Q0	845811	722	5.0	runtest
test	Q0	845798	723	5.0	runtest
test	Q0	843807	724	5.0	runtest
test	Q0	843714	725	5.0	runtest
test	Q0	841797	726	5.0	runtest
test	Q0	840838	727	5.0	runtest
test	Q0	829890	728	5.0	runtest
test	Q0	828550	729	5.0	runtest
